label,text
soc.religion.christian,articles available church gay people progay viewpoint might interest people participating thread please email would like send warning k worth material make sure mailbox andor disk space available short answers questions weve seeing explain verses justify actions youve asking really want idea peoples thinking encourage serious reading dr ann b carlson ms nasa langley research center hampton va
talk.politics.mideast,bill coleman writes responding discussion mosque jerusalem allegedly destroyed israel bc todays jerusalem post magazine feature story bc ongoing restoration synagogues jewish quarter author bc leah abramowitz writes fiftyseven synagogues bc quarter destroyed says used bc donkey stables building shells bc bc still find really really hard understand demolition bc buildings front kotel continues evoke outrage bc everything much cheaper happens jews bc bc double standard human behavior regarding jews must manitained perfect example outcry temporary removal men advocated murdering jews destroying state israel compared deafening silence abusive treatment jews arab countries past years compare tacit appoval world gives muslims randomly murder jewish civilians righteous indignation expressed people occupied territories kept working israel effort reduce random murders occuring everyone knows country required accept foreign workers except israel course jewish blood always cheap nonjewish world ha never regarded form jewish suffering important except jews models powerless victim holding high moral ground world war however soon jewish people started take care ancient hatred jews unleashed doubt nonjewish world even capable compassion towards jews antisemitism ancient basic christianity islam golda meir said would peace arabs love children hate jews know arab parents love children would send children streets throw rocks men trained defend guns world obsessed hatred jews trying defend yet even question actions parents simply allow children encourage throw harms way even arab children expendable tragic deaths used neverending propoganda battle blame israel jews misfortune befalling arabs middle east jew person whose integrity decays unmoved knowledge wrong done people j heschel
rec.sport.baseball,looking source american league baseball stats individual players format printed newspapers ie want provide list players get back nice printed reports week anyone know statistics availability idea cost canada remote systems toronto ontario
rec.autos,article nigel allen writes press release national crime prevention council campaign urges drivers remember lock roll look around lock car doors immediately entering leaving car roll windows far possible look around alert avoid situations suspicious reminds blurb police blotter school paper along lines police called reported suspicious people hangning around business building turns two black men leaving building homework late one night
alt.atheism,charley wingate writes keith ryan writes ignore criticism logic possible incongruenties stance answer questions validity opinion andor facts state start saying thats said response theres reason continue someone going argue version position cannot argued course version position included charley challenges claim flatout lie last week claimed might answer challenges turned included text want context included articles come think contradiction makings new entry next challenges post way ive kept every bloody thing youve written related thread pleased repost back position seem forgotten leave electronic paper trail net usual theist approach matter many times certain argument disproven shown nonapplicable nonsequitur keep cropping time time speaking nonsequiturs little said sauce goose disproof fallacies repeated law nature argument someone posted recently lets change subject wouldnt best finish thread question begin new ones dave wood
sci.med,kathleen richards kiltyucrengr wrote nearly year old pomeranian nasty reaction vaccination suffice say vaccinate lyme disease shes camping states backpacked us well used watching ticks dealing simply wont take really active lyme disease areas drag anymore many veterinarians feel lyme disease dogs easy treat endemic area often give appropriate antibiotics dogs presenting lameness swollen joints fever recent paper march finally established lyme disease dogs reproduced controlled experimentaly setting ellusive matter researchers one fundamental requirements many acknowledge agent causitive particular disease vaccine manufacturer able prove disease exists paper noteworthy two regards none animals infected treated way dogs episodes lameness week period occurred months exposure period none showed clinical signs month observation period study proven clinically sick lyme patients showing spontaneous recovery without benefit drug treatment course observations longer months necessary sure disease doesnt chronicity see humans addendum paper calls question techniques used vaccine manufacturer validate vaccine course want world use model developed order test vaccine efficacy anyway maybe see independent scientifically sound evaluations vaccine next year jeff parke also aol jeffparke washington state university college veterinary medicine class pullman wa
comp.windows.x,cutsie little macintrashlike icons instant recipe mousitis imho system undoubtedly worst gui used riscos mswombles x simply provide enough keyboard shortcuts windows must confess quite like cover ears actually use without ever touch mouse stuff delete user rather making things easier always option way want like unixx combination much customizable hear hear agree completely one thing cant stand mac interface shear determination force use mousewhat mouse breaksyour whole system like mouseit handy occassions cut past moving icons around etc work keyboard hot keys times faster using mouse sure plus able something simple inexperienced user long experienced month two speaking pcs moment dont think much ask window programmers provide menumouse interface also look forward would like move hot keys command line interfaces usually allows less time experienced equally applies windowing systems unix especially since unix least powerful dos seth buffington uss gab unix operator
alt.atheism,robert beauchaine writes article mike cobb writes robert beauchaine writes actually atheism based ignorance ignorance existence god dont fall atheists dont believe pride mistake know based ignorance couldnt wrong would wrong fall trap mentioned im wrong god free time correct mistake continues supposedly proclaiming undying love eternal soul speaks volumes volumes speaks besides fact leaves choices trap position tell dont believe god wish unless know motivations better believe say earnestly searched god years never found definitely agree rather presumptuous either side give psychological reasoning anothers belief mac bob beauchaine said queens could stay blew bronx away sank manhattan sea michael cobb wont raise taxes middle university illinois class pay programs champaignurbana bill clinton rd debate new taxes spending cuts well still billion dollar deficits
comp.windows.x,using glx widget athena widgets mixedmodel application dwm dialog gets popped text entry field focus aimilar code works perfectly use pure x mixedmodel relevant portion code int n arg wargs widget button popupshell dialog initialize toplevel n xtsetargwargsn xtnlabel foo n button xtcreatemanagedwidgetfoobtn commandwidgetclass toplevel wargs n popupshell xtcreatepopupshellpupshell overrideshellwidgetclass button null xtaddcallbackpopupshell xtncallback mypopup xtpointerpopupshell n xtsetargwargsn xtnvalue n dialog xtcreatemanagedwidgetthedialog dialogwidgetclass popupshell wargs n void mypopupw popupshell calldata widget w widget popupshell xtpointer calldata xtpopuppopupshell xtgrabexclusive way found give focus text field move application window around little bit place right behind popup pointers would greatly appreciated
talk.politics.misc,article chris bertholf writes martina cartwright writes official legal term rape crime forcing female submit sexual intercourse please supply references aware states word female rape statutes sure others surprised well know thats works practice nicenfair unaware statutes applying females uniformly throughout us agree mostly chris unfortunately imo true fbi figures rape based uniform crime report report female rapes however states illinois tabluated refuse comply sexist definition worms crawl worms crawl worms post net account
comp.windows.x,article frederick roeber writes im writing x server videogeneration equipment hardware truecolor yuv space x terms bit static color visual would really like server present static visual im sure acceptable x clients three problems see colormap though huge static pixels would bytes wide hardware actually lives yuv space translation rgbyuv introduce rounding error tried ship x server supported bit truecolor visual main problems encountered clients written logic like following defaultdepth assume default depth bit clients need bit deep visual root window run correctly clients didnt even bother much outright assumed dynamic visual class dynamic colormap xstorecolors doesnt work cmaps associated static truecolor visual classes many clients dont bother check start throwing xstorecolor calls though clearly client error case many clients easier expose bit pseudocolor default root window visual ever would client writers change clients right thing paul evans sutherland
soc.religion.christian,article peter trei writes article writes much deleted point today might masons note worshipped osiris egypt much deleted bugs see kind nonsense first reasonable evidence linking masonry ancient egypt even existed prior late th century theres nothing definitive th wifes uncle level mason let look books death brothers came took greiving widow body even cooled dont tell dont worship osiris must past th level read wilkinsons egyptians shows egyptian religion paralleling british masonry man laboratory degree black mason ive talked though much likes hide mystery special handshakes first started trying evangelize told kinds special special truely mystery religion public side motorcyle mania childrens hospitals priviate side highest degree mason every learns second worship osiris ever part masonic practice strictly nondenominational havent read literature offered silver haired apologist cant remember name tv didnt exactly come conclusion khons son great goddessmother seems gernaerally represented fullgrown god babylonian divinity also represented frequently egupt wayas land nativity ie child mothers arems way osiris son husband mother often exhibited learn god equally case khonso shows original none nimrod admitted secret system free masonry originally founded mysteries egyptian isis goddessmother wife osiris could led union masonic body mysteries particular reference architecture god worshipped celebrated success perfecting arts fortification building case considering relation already seen egypt stood babylon would naturally liiked great patron masonic art strong presumption nimrod must man first gained faim way child babylonian goddessmother worshipped character ala mahozim god fortification osiris child egyptian modonna equally celebrated strong chief buildings strong chief buildings origninally worshipped egypt every physicall characteristic nimrod already noticed fact nimrod son cush negro tradition egypt recorded plutarch osiris black hislop like cold slap face wifes uncle brought cerimonial dress leopard skin mean real leopard skin told highest degrees wore leopard skin reason started telling given couple months live wife led saving faith christ immediately repented mysteries lodge nimrrod nimr leopard rada rad subdue universal principle idolatries high priest wears insignia god serves representation osiris usually show wearing leopard interesting druids britian also show say hide representation however worshipped spotted cow ill stand statements masonry mystery religions find source babylon great harlot sorry peter mean cold slap face much evidence contrary masonry doesnt find origins egypt masons personally talked refered egypt origin separating many years ago freely admitted rex
talk.politics.mideast,article hilmi eren writes henrik armenians nagarnokarabagh simply defending henrik rights keep homeland azeris henrik invading homeland homeland first nagarnokarabagh armenians homeland today fizuli lacin several villages azerbadjan homeland cant see great armenia dream facist methods like killing raping bombing villages last move blast truck kurdish refugees trying escape lacin city given kurds armenians nagornokarabakh azerbaijan armenia armenians lived nagorno karabakh ever since armenians armenians used live areas armenia nagornokarabakh area used invade nagorno karabakh armenians defending azeris dying policy attacking armenians something wrong policy recall correctly stalin caused problem land first place armenians henrik however hope armenians force turkish airplane henrik land purposes searching arms similar one henrik happened last summer turkey searched american plane henrik carrying humanitarian aid bound armenia dont speak things dont know us cargo planes heading armenia turkish authorities announced going search cargo planes planes returned base germany planes searched turkey content planes hard guess sure humanitarian aid story talking planes us sending aid armenian two years would like guess planes story would like find search turkish planes dont know talking turkeys government announced giving weapons azerbadjan since armenia started attack azerbadjan self karabag province search plane weapons since content announced weapons bad would want turkey start war armenia
comp.sys.ibm.pc.hardware,miscentrepreneursmiscwantedpnwforsaleuwpcibmseattleforsaleuw forsalemiscforsale miscforsalecomputersdmiscforsalecomputerspcclonemiscforsaleco omputersother distribution world followupto replyto organization keywords need simms sipps mb price around piece waiting offer yuri yulaev th ave ne seattle wa home work fax internet uucp uwbeaveratmoswashingtoneduyuri
sci.electronics,new idea least years ago got little gadget keyboard back leds vertical row front long handle wave air writes message typed keyboard air news fact got idea since neat item mattell made believe modeled space saber light sword something likewise themey addition using motor continuous display polar effects addition character graphics protected chance one kick ten years ago right since built mine
